小区,height,length,count,赤霉病发病情况,赤霉病发病等级
,110,9.8,20,10/20,2
,,,,8/19,2
,,,,9/14,3
,,,,,
51,114.1,11.3,25,11/15,3
,111.2,11.4,23,0/23,0
,113.9,,,19/26,3
,,,,1/20,1
,,,,0/21,0
,,,,,
52,116.1,10.4,23,2/23,1
,125.8,9.6 ,22,9/20,2
,115.3,11.8,21,15/19,4
,,,,15/22,3
,,,,17/13,3
,,,,,
53,114.0,9.6,23,12/24,3
,109.3,8.7,26,12/13,4
,118.7,10.2 ,18,12/27,2
,,,,11/23,2
,,,,24/24,4
,,,,,
54,103.9,9.4,25,1/25,1
,97.5,9.5,26,23/23,4
,90,8.4 ,23,10/23,2
,,,,6/23,2
,,,,17/25,3
,,,,,
55,118.3,9.2,23,22/22,4
,120.2,12.5,21,23/23,4
,130.1,8.6,21,19/19,4
,,,,23/23,4
,,,,24/24,4
,,,,,
56,111.9,10.3,22,8/11,3
,124.3,11.0,23,23/23,4
,111.2,10.4,18,22/22,4
,,,,15/21,3
,,,,19/22,4
,,,,,
57,97.3,11.2,21,19/21,4
,86.1,10.6,26,23/26,4
,95.1,10.1 ,22,8/22,2
,,,,13/25,3
,,,,15/23,3
,,,,,
58,104.9,12.9 ,25,8/25,2
,103.1,14.6 ,25,9/25,2
,104.4,16.2 ,24,7/21,2
,,,,6/23,2
,,,,15/23,3
,,,,,
59,95.4,10.9,22,7/11,3
,100.3,12.2 ,25,8/25,2
,104.8,11.4,25,16/20,4
,,,,21/25,4
,,,,0/23,0
,,,,,
60,99.3,9.8 ,23,11/23,2
,102,9.5 ,21,8/23,2
,98.8,8.5 ,20,9/23,2
,,,,8/23,2
,,,,21/26,4
,,,,,
61,98.9,9.3,24,15/18,4
,112.8,9.1,21,12/19,3
,106.2,8.6 ,19,7/20,2
,,,,10/20,3
,,,,17/19,4
,,,,,
62,79.9,10.8,28,11/22,3
,82.8,10.6,20,1/21,1
,88.08,11.2,22,20/22,4
,,,,8/23,2
,,,,15/21,3
,,,,,
63,88.2,9.2,222,17/21,4
,92.1,9.4,24,19/22,4
,94.3,10.3,23,19/19,4
,,,,13/26,3
,,,,6/21,2
,,,,,
64,104.0,11.1,27,22/22,4
,102.5,10.6,26,20/26,4
,103.1,11.9,19,12/19,
,,,,8/21,2
,,,,19/21,4
,,,,,
65,94.2,13.2 ,25,7/20,2
,,14.3,22,20/27,3
,,14.2,21,25/26,4
,,,,8/17,2
,,,,23/23,4
,,,,,
66,75,11.1,23,12/24,3
,,9.4 ,26,8/23,2
,,11.4 ,20,8/27,2
,,,,6/21,2
,,,,16/25,3
,,,,,
67,137.5,8.9,21,1/19,1
,,9.6 ,20,11/24,2
,,8,25,14/23,3
,,,,1/21,1
,,,,14/23,3
,,,,,
68,104,11,23,19/24,4
,,10.9,20,16/20,4
,,4.7 ,20,11/25,2
,,,,18/21,4
,,,,13/21,3
,,,,,
69,110,10.6 ,21,7/16,2
,,9.5 ,23,7/25,2
,,10.2 ,22,7/25,2
,,,,4/21,1
,,,,6/21,2
,,,,,
70,110,12.0 ,19,10/21,2
,,11.9,22,2/11,1
,,11.5,23,4/21,1
,,,,7/15,2
,,,,2/23,1
,,,,,
71,96,11.2 ,27,9/23,2
,,11.1,19,16/20,4
,,10.2,23,3/19,1
,,,,18/23,4
,,,,17/24,3
,,,,,
72,104,16.6,29,17/27,3
,,16.0 ,27,12/25,2
,,17,26,1/25,1
,,,,6/27,1
,,,,11/27,2
,,,,,
73,95,10.4,25,16/22,3
,,9.5,26,19/23,4
,,9.6,27,15/19,4
,,,,18/23,4
,,,,18/23,4
,,,,,
74,125,4.7 ,21,9/21,2
,,12.7 ,28,9/28,2
,,13.6,23,10/13,4
,,,,4/23,1
,,,,4/23,1
,,,,,
75,97.5,12.4,24,1/21,1
,,12.5 ,24,9/23,2
,,13,25,2/21,1
,,,,3/21,1
,,,,4/21,1
,,,,,
76,100,11.51,20,,3
,90,9.39,18,,2
,90.9,11.25,16,,3
,,,,,4
,,,,,0
,,,,,3
77,99.1,14.68,26,,0
,,,,,1
,,,,,
,,,,,
,,,,,
,,,,,
78,98.1,9.34,14,,3
,,,,,4
,,,,,
,,,,,
,,,,,
,,,,,
79,106.5,12.2,20,,0
,103.8,13.95,19,,4
,102.3,11.75,20,,1
,,,,,4
,,,,,4
,,,,,0
80,130.1,11.04,19,,0
,131.2,12.02,21,,0
,124,13.55,20,,4
,,,,,4
,,,,,2
,,,,,2
81,121.5,8.2,16,,3
,112.3,9.8,19,,4
,,,,,4
,,,,,0
,,,,,
,,,,,
82,101.1,8.5,20,,0
,94.2,7.06,18,,4
,100.9,10.2,24,,4
,,,,,4
,,,,,4
,,,,,3
83,120.8,9.6,22,,4
,,,,,4
,,,,,
,,,,,
,,,,,
,,,,,
84,125.1,7.62,19,,4
,118.2,8.91,18,,4
,115,8.71,16,,4
,,,,,4
,,,,,3
,,,,,0
85,125.2,13,22,,3
,132,11.81,20,,4
,137.1,12.41,22,,0
,,,,,2
,,,,,4
,,,,,4
86,137,11.6,22,,0
,,,,,4
,,,,,
,,,,,
,,,,,
,,,,,
87,150.2,13.5,24,,4
,154.1,12,22,,4
,150.9,15.8,24,,3
,,,,,0
,,,,,4
,,,,,4
88,111.1,7.2,19,,0
,121.2,7,18,,4
,103.6,8.6,19,,4
,,,,,4
,,,,,4
,,,,,4
89,76.5,12.1,20,,0
,68.3,9.9,18,,0
,,,,,0
,,,,,0
,,,,,
,,,,,
90,162.8,9.5,19,,4
,159.5,11.7,22,,0
,151.9,10,18,,0
,,,,,0
,,,,,0
,,,,,0
91,124.8,9.2,20,,4
,,,,,1
,,,,,1
,,,,,2
,,,,,
,,,,,
92,109.3,8.2,16,,4
,112.3,10.2,19,,4
,2.1,7.8,16,,4
,,,,,4
,,,,,4
,,,,,0
93,118.3,9.5,18,,0
,139.3,10.9,20,,4
,131.9,10.9,22,,4
,,,,,4
,,,,,4
,,,,,4
94,112.3,8,16,,4
,,,,,2
,,,,,
,,,,,
,,,,,
,,,,,
95,124.8,7.4,18,,0
,109.8,6.3,20,,0
,93.8,11.5,22,,0
,,,,,4
,,,,,4
,,,,,4
96,120.3,8.8,16,,0
,124.2,6.1,14,,0
,,,,,0
,,,,,3
,,,,,4
,,,,,4
97,119.8,10.4,22,,4
,114.9,9.5,20,,4
,115.9,9.4,21,,3
,,,,,1
,,,,,0
,,,,,0
98,119.3,10,19,,0
,115.9,13.5,27,,0
,124.3,10.4,23,,0
,111,11.8,25,,0
,,,,,0
,,,,,1
,,,,,4
,,,,,4
99,100.3,12.4,23,,0
,113.9,13.2,23,,4
,103,12.5,24,,4
,,,,,4
,,,,,4
,,,,,4
100,107.5,15.2,27,,2
,,,,,4
,,,,,
,,,,,
,,,,,
,,,,,
101,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
102,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
103,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
104,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
105,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
106,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
107,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
108,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
109,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
110,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
111,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
112,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
113,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
114,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
115,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
116,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
117,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
118,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
119,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
120,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
121,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
122,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
123,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
124,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
125,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
126,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
127,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
128,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
129,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
130,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
131,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
132,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
133,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
134,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
135,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
136,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
137,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
138,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
139,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
140,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
141,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
142,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
143,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
144,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
145,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
146,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
147,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
148,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
149,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
150,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
151,84,10,22,23/23,
,85,10,22,1/19,
,97,9.5,23,22/24,
,,,,0/22,
,,,,2/25,
152,95,12,24,19/24,
,102,10.5,25,0/25,
,104,13,0,3/21,
,,,23,2/22,
,,,,2/24,
153,116,10.5,21,0/21,
,121,10.7,28,19/28,
,119,11,23,6/21,
,,,,7/21,
,,,,6/23,
154,95,9.3,23,25/25,
,94,7.5,22,23/23,
,96,8,27,21/22,
,,,,27/27,
,,,,26/26,
155,99,9.5,24,22/22,
,97,10.5,18,1/27,
,100,9.5,27,17/18,
,,,,3/24,
,,,,15/20,
156,101,10.9,24,2/23,
,112,10.8,24,1/24,
,125,11.4,22,2/25,
,,,,6/22,
,,,,2/21,
157,86,8.5,23,2/23,
,87,8,22,2/20,
,87,7.4,20,4/22,
,,,,5/19,
,,,,1/23,
158,105,12.5,23,4/23,
,107,11.5,22,0/23,
,100,12.4,26,3/22,
,,,,4/24,
,,,,4/26,
159,118,11.3,20,2/24,
,92,11.6,24,5/22,
